traffic,temperture,relative_humidity,wind_direction,wind_speed,pressure,condition,EPA,PM
4374,64,0.68,2,10,29.51,2,3.783,0.1
6871,61,0.77,3,7,29.62,2,4.417,0.533
7013,82,0.37,2,8,29.36,2,11.217,13.017
7510,64,0.73,1,20,29.48,1,4.15,6.033
6571,66,0.83,5,5,29.42,8,2.617,5.017
3600.0,52,0.76,7,10,29.51,5,5.1,5.5
7259,73,0.53,1,16,29.71,2,4.6,6.617
5893,59,0.94,3,13,29.33,3,5.667,2.617
5144,66,0.83,8,5,29.27,1,7.067,5.1
5441,72,0.43,2,18,29.74,2,6.633,1.417
5928,61,0.94,1,16,29.45,3,5.683,2.35
6744,63,0.59,11,8,29.33,2,12.55,10.783
2389,59,0.55,6,12,29.62,1,8.05,9.583
6071,73,0.53,17,6,29.48,2,5.0,5.033
5569,66,0.52,1,15,29.54,2,4.55,1.183
3729,61,0.48,8,15,29.62,1,9.583,12.967
6061,90,0.22,11,18,29.42,2,13.733,10.433
6485,79,0.44,2,8,29.39,2,15.967,20.45
2196,63,1.0,3,13,29.13,3,8.983,3.483
3249,59,0.88,8,7,29.68,1,10.583,10.433
7259,73,0.53,1,16,29.71,2,4.6,6.617
7024,68,0.52,1,14,29.56,2,4.567,0.417
6562,66,0.46,1,10,29.48,1,7.183,8.433
6227,59,0.55,6,18,29.36,6,4.333,4.983
7081,70,0.73,8,8,29.1,2,10.7,2.267
5214,57,0.77,1,13,29.54,2,0.933,4.733
8161,57,0.63,8,14,29.54,1,2.45,4.117
4443,75,0.36,8,6,29.3,2,7.517,8.067
3020.0,52,0.76,7,10,29.51,5,5.1,7.105
7806,64,0.49,6,21,29.48,13,9.517,4.4
3875,59,0.88,1,9,29.71,1,3.717,3.6
7784,63,0.45,7,14,29.33,4,3.983,9.467
5181,70,0.68,3,15,29.42,2,15.833,9.3
4624,61,0.72,1,12,29.56,1,3.233,4.833
8681,61,0.59,1,10,29.77,2,8.167,12.417
4177,64,0.94,8,10,29.33,1,6.633,4.65
4698,59,0.88,8,5,29.74,1,3.6,5.6
6749,70,0.53,6,5,29.77,2,7.65,10.517
4996,59,0.72,8,9,29.62,1,0.833,3.683
7451,50,0.76,11,10,29.33,2,5.617,3.133
4913,50,0.82,1,6,29.74,2,2.0,8.0
3649,61,0.68,8,10,29.56,5,2.25,2.2
6554,70,0.56,2,8,29.74,4,4.317,1.55
8443,57,0.59,8,20,29.33,7,7.45,8.217
3990,59,0.77,3,8,29.45,1,2.867,1.267
6909,61,0.77,8,23,29.48,11,2.833,0.35
5955,75,0.61,8,6,29.24,4,4.35,4.083
4879,59,0.55,1,16,29.77,2,0.5,3.917
6490,63,0.82,4,6,29.42,2,6.65,4.917
8149,72,0.46,1,17,29.48,2,5.0,7.767
5176,68,0.88,11,18,29.27,1,7.983,2.45
7188,63,1.0,5,10,29.39,14,12.683,8.217
3480.0,52,0.76,7,10,29.51,5,5.1,4.909
3517,54,0.88,13,5,29.54,2,3.617,2.433
8138,68,0.6,1,20,29.54,1,0.733,5.067
6805,81,0.42,1,14,29.59,2,8.35,9.483
6191,93,0.14,11,15,29.24,2,1.883,0.75
5027,100,0.12,11,8,29.22,2,1.3,11.7
3965,72,0.46,5,20,29.71,2,6.317,6.517
8855,72,0.41,2,12,29.39,2,8.217,13.483
5986,64,0.42,8,14,29.62,4,14.983,9.083
8260,70,0.6,1,15,29.54,1,5.067,7.15
8397,59,0.77,6,13,29.59,7,2.417,7.05
6410,75,0.5,1,7,29.42,2,15.217,15.967
6511,95,0.18,11,22,29.39,10,6.183,6.05
5536,64,0.64,1,17,29.27,1,7.5,9.867
3833,52,0.94,7,8,29.74,2,4.533,2.933
6745,66,0.68,2,10,29.77,4,3.233,7.95
7126,63,0.72,1,16,29.51,1,6.033,3.85
7236,68,0.37,10,6,29.71,2,9.283,12.55
7879,77,0.36,2,20,29.68,2,6.067,2.733
5427,70,0.56,3,12,29.65,2,9.717,8.217
7449,64,0.88,17,12,29.42,14,5.017,8.317
6609,84,0.37,1,13,29.36,2,13.017,5.983
1320.0,52,0.76,7,10,29.51,5,5.1,2.938
9001,59,0.55,2,18,29.54,1,5.617,7.217
6141,81,0.34,5,12,29.68,2,6.517,4.133
4964,82,0.42,3,7,29.48,2,11.083,9.033
7236,86,0.22,11,12,29.45,2,11.167,15.967
3593,55,0.67,2,8,29.74,1,5.517,2.867
9211,63,0.48,1,18,29.74,2,3.683,5.2
3933,61,0.82,11,7,29.45,2,2.6,1.933
7992,70,0.43,3,3,29.33,2,10.783,14.233
4217,84,0.35,17,13,29.51,1,8.933,5.5
6315,82,0.26,5,10,29.19,2,7.317,8.55
8482,64,0.94,17,9,29.42,14,8.317,7.683
